,0
2401,49755
2402,21991
2403,27548
2404,21149
2405,24688
2406,17022
2407,15116
2408,23221
2409,42075
2410,7587
2411,13955
2412,23225
2413,17126
2414,9817
2415,16856
2416,19347
2417,14477
2418,16171
2419,5195
2420,2834
2421,5088
2422,13482
2423,16112
2424,9572
2425,4804
2426,4202
2427,8178
2428,9479
2429,25184
2430,12459
2431,21788
2432,6244
2433,16611
2434,20270
2435,15334
2436,19834
2437,21798
2438,19279
2439,19805
2440,3776
2441,8254
2442,11365
2443,14863
2444,5892
2445,37085
2446,14206
2447,4933
2448,17914
2449,3283
2450,21913
2451,31666
2452,19158
2453,15093
2454,12866
2455,8452
2456,11226
2457,15701
2458,12191
2459,16837
2460,10571
2461,22011
2462,10886
2463,8713
2464,15695
2465,2712
2466,11168
2467,20628
2468,21356
2469,9207
2470,12415
2471,8574
2472,29259
2473,19373
2474,20158
2475,16227
2476,45639
2477,9480
2478,21209
2479,24314
2480,16142
2481,19800
2482,45273
2483,15549
2484,20962
2485,10737
2486,19208
2487,12709
2488,24003
2489,34142
2490,20681
2491,6530
2492,11002
2493,5996
2494,14960
2495,36938
2496,12606
